scientific_name_original,scientific_name_corrected,page_number,remarks
Ruta microcarpa Svent.,Ruta microcarpa Svent.,23,
Kunkeliella canariensis Stearn,Kunkeliella canariensis Stearn,23,
Kunkeliella psilotoclada (Svent.) Stearn,Kunkeliella psilotoclada (Svent.) Stearn,23,
Kunkeliella subsucculenta Kammer,Kunkeliella subsucculenta Kammer,23,
Sideroxylon marmulano Banks ex Lowe,Sideroxylon marmulano Banks ex Lowe,23,
Saxifraga portosanctana Boiss.,Saxifraga portosanctana Boiss.,23,
Euphrasia azorica H.C.Watson,Euphrasia azorica H.C.Watson,23,
Euphrasia grandiflora Hochst.,Euphrasia grandiflora Hochst.,23,
Isoplexis chalcantha Svent. & O'Shanahan,Isoplexis chalcantha Svent. & O'Shanahan,23,
Isoplexis isabelliana (Webb & Berthel.) Masferrer,Isoplexis isabelliana (Webb & Berthel.) Masferrer,23,
Globularia ascanii D.Bramwell & Kunkel,Globularia ascanii D.Bramwell & Kunkel,23,
Globularia sarcophylla Svent.,Globularia sarcophylla Svent.,23,
Solanum lidii Sunding,Solanum lidii Sunding,23,
Ammi trifoliatum (Wats.) Trel.,Ammi trifoliatum (Wats.) Trel.,23,
Bunium brevifolium Lowe,Bunium brevifolium Lowe,23,
Bupleurum handiense (Bolle) Kunkel,Bupleurum handiense (Bolle) Kunkel,23,
Chaerophylum azoricum Trel.,Chaerophyllum azoricum Trel.,23,added l
Monizia edulis Lowe,Monizia edulis Lowe,24,
Ferula latipinna Santos,Ferula latipinna Santos,24,
Sanicula azorica Gunthn. ex Seub.,Sanicula azorica Gunthn. ex Seub.,24,
Viola paradoxa Lowe,Viola paradoxa Lowe,24,
Echinodium spinosum (Mitt.) Jur.,Echinodium spinosum (Mitt.) Jur.,24,
Bryoerythrophyllum machadoanum (Sergio) M.Hill,Bryoerythrophyllum machadoanum (Sergio) M.Hill,24,
Thamnobryum fernandesii Sergio,Thamnobryum fernandesii Sergio,24,
