acceptedname	scientificnameauthorship	n_occs	matchType	confidence	status	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom	name_for_gbif	rank_for_gbif	usageKey	scientificName	canonicalName	rank	kingdom	phylum	order	family	genus	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	synonym	class	acceptedUsageKey	species	speciesKey
Phalacrus coruscus	(Panz., 1797)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	18698	21422	NA	NA	NA	37960	0a	species	NA	accepted	50945	2015-04-29	NA	NA	45974	Animalia	NA	species	7994638	Phalacrus corruscus (Panzer, 1797)	Phalacrus corruscus	SPECIES	Animalia	Arthropoda	Coleoptera	Phalacridae	Phalacrus	1	54	216	1470	7843	1043046	FALSE	Insecta	NA	Phalacrus corruscus	7994638
Batrisodes delaportei	(Aubé, 1833)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	18708	21433	NA	NA	NA	37965	0a	species	NA	accepted	50950	2015-04-29	NA	NA	45974	Animalia	NA	species	4441443	Batrisodes delaporti (Aubé, 1833)	Batrisodes delaporti	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Batrisodes	1	54	216	1470	7854	1041209	FALSE	Insecta	NA	Batrisodes delaporti	4441443
Acrotrichis montandonii	(Allib., 1844)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	18763	21491	NA	NA	NA	37986	0a	species	NA	accepted	50971	2015-04-29	NA	NA	45974	Animalia	NA	species	4435725	Acrotrichis montandoni (Allibert, 1844)	Acrotrichis montandoni	SPECIES	Animalia	Arthropoda	Coleoptera	Ptiliidae	Acrotrichis	1	54	216	1470	4754	1039035	FALSE	Insecta	NA	Acrotrichis montandoni	4435725
Rhaphitropis marchicus	(Herbst, 1797)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	18825	18787	NA	NA	NA	37200	0a	species	NA	accepted	50175	2015-04-29	NA	NA	45974	Animalia	NA	species	4469435	Rhaphitropis marchica (Herbst & J.F.W., 1797)	Rhaphitropis marchica	SPECIES	Animalia	Arthropoda	Coleoptera	Anthribidae	Rhaphitropis	1	54	216	1470	4206	1166399	FALSE	Insecta	NA	Rhaphitropis marchica	4469435
Aphodius niger	(Panz., 1797)	NA	NONE	99	NA	18877	21605	NA	NA	NA	38024	0a	species	NA	accepted	51009	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Aphodius plagiatus	(L., 1767)	NA	NONE	99	NA	18881	21609	NA	NA	NA	38024	0a	species	NA	accepted	51009	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Aphodius rufus	(Moll, 1782)	NA	NONE	99	NA	18888	21616	NA	NA	NA	38024	0a	species	NA	accepted	51009	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Pteleobius kraatzi	Eichh., 1864	NA	EXACT_WITHOUT_AUTHOR	100	SYNONYM	18986	21714	NA	NA	NA	38075	0a	species	NA	accepted	51062	2015-04-29	NA	NA	45974	Animalia	NA	species	7997489	Pteleobius kraatzi Wood & Bright, 1992	Pteleobius kraatzi	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Hylesinus	1	54	216	1470	4239	1239036	TRUE	Insecta	1239059	Hylesinus kraatzi	1239059
Xyleborus saxeseni	(Ratz., 1837)	NA	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	19004	21732	NA	NA	kleine houtkever, polygame houttor	38080	0a	species	NA	accepted	51067	2015-04-29	NA	NA	45974	Animalia	NA	species	7747829	Xyleborus saxesenii (Ratzeburg, 1837)	Xyleborus saxesenii	SPECIES	Animalia	Arthropoda	Coleoptera	Bostrichidae	Bostrichus	1	54	216	1470	7773	3260996	TRUE	Insecta	5022120	Bostrichus saxeseni	5022120
Eutheia schaumii	Kiesw., 1858	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	19034	21762	NA	NA	NA	38087	0a	species	NA	accepted	51074	2015-04-29	NA	NA	45974	Animalia	NA	species	8323005	Eutheia schaumi (Kiesenwetter, 1858)	Eutheia schaumi	SPECIES	Animalia	Arthropoda	Coleoptera	Scydmaenidae	Eutheia	1	54	216	1470	4761	3262502	FALSE	Insecta	NA	Eutheia schaumi	8323005
